name,Rating,price,brand,product_url
EyeBogler Men Striped Round Neck Polyester Dark Blue T-Shirt,3.8,₹285,EyeBogler,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
TRIPR Pack of 4 Men Solid Round Neck Cotton Blend Multicolor T-Sh...more,3.6,₹516,TRIPR,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
TRIPR Pack of 4 Men Solid Round Neck Cotton Blend Multicolor T-Sh...more,3.6,₹516,TRIPR,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
DyrectDeals Men Colorblock Polo Neck Polycotton Green T-Shirt,4.2,₹292,,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
VeBNoR Men Solid Polo Neck Polyester Pink T-Shirt,4.4,₹292,VeBNoR,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
NEW FASHION HR Men Printed Round Neck Cotton Blend White T-Shirt,4.2,₹130,NEW FASHION HR,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
sports mtex Men Solid Polo Neck Cotton Blend Black T-Shirt,3.8,₹261,sports mtex,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
Flipkart SmartBuy Men Solid Round Neck Cotton Blend Pink T-Shirt,3.6,₹363,Flipkart SmartBuy,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
ZyVok Men Printed Hooded Neck Polyester Light Blue T-Shirt,3.5,₹248,ZyVok,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
U.S. POLO ASSN. Men Striped Polo Neck Pure Cotton White T-Shirt,,"₹1,209","4.1
•
10 years with Flipkart",https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
Leotude Men Printed Round Neck Cotton Blend Brown T-Shirt,4.2,₹298,Leotude,https://www.flipkart.com/newsingh-solid-men-round-neck-multicolor-t-shirt/p/itm031947bf3f879?pid=TSHGN5PSTSSRGFRV&marketplace=FLIPKART&ov_redirect=true
