Product_Name,Rating,Price,Brand,Product_URL
TECHNOSPORT Men Solid Polo Neck Polyester Light Blue T-Shirt,4.4,584,TECHNOSPORT,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
newtal Men Printed Round Neck Reversible Polyester Blue T-Shirt,4.1,315,newtal,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Club York Men Solid Polo Neck Cotton Blend Brown T-Shirt,4.2,437,Club York,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Matisse Pack of 2 Women Printed Round Neck Pure Cotton Multicolor...more,3.5,366,Matisse,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Polo Neck Polyester Yellow T-Shirt,4.4,294,VeBNoR,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
"AUSK Men Checkered Polo Neck Cotton Blend White, Black, Blue, Mul...more",3.9,298,AUSK,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Dharm Enterprise Women Self Design Round Neck Cotton Blend Maroon...more,4.5,220,Dharm Enterprise,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Leotude Men Printed Round Neck Cotton Blend Brown T-Shirt,4.2,298,Leotude,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
FTX Pack of 4 Men Solid Round Neck Polyester Multicolor T-Shirt,4.1,403,FTX,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Mandarin Collar Cotton Blend Grey T-Shirt,4.1,315,VeBNoR,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
