Product_Name,Rating,Price,Brand,Product_URL
LOUIS PHILIPPE Men Solid Polo Neck Pure Cotton Dark Green T-Shirt,4.3,914,LOUIS PHILIPPE,https://www.flipkart.com/louis-philippe-solid-men-polo-neck-dark-green-t-shirt/p/itmcb07f60a09da1?pid=TSHGSAW58ZMYPTTA&lid=LSTTSHGSAW58ZMYPTTA2FHQ2U&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_2_42&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=en_Nybui6mzf-3pzsNRl3417K8-o26vG9WfrJQY1g7FcnAMUutYykWo7EZYveBVjUXpjdSU9A9P6GE1qDqPWSAXIarh2IGA9Ri0BGD7sEy8d8ywO7FUWDlEmQcHQoagYzI7&ppt=sp&ppn=sp&ssid=mfoyca52gg0000001788846652005&qH=04ad3bdbbe706182&ov_redirect=true
SAHAL Men Solid Round Neck Cotton Blend Pink T-Shirt,2.8,195,SAHAL,https://www.flipkart.com/sahal-solid-men-round-neck-pink-t-shirt/p/itm3f3e64e39b743?pid=TSHHZDGHZH8NHA3Y&lid=LSTTSHHZDGHZH8NHA3YSAZPNN&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_1_9&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=organic&iid=af9972eb-852a-4fe1-9d01-5b84f1739265.TSHHZDGHZH8NHA3Y.SEARCH&ppt=None&ppn=None&ssid=ndh00f0brk0000001788846633696&qH=04ad3bdbbe706182&ov_redirect=true
AACHIPAN Men Printed Polo Neck Pure Cotton Grey T-Shirt,3.9,258,AACHIPAN,https://www.flipkart.com/aachipan-printed-men-polo-neck-grey-t-shirt/p/itm74369ab61d540?pid=TSHHZGWTNH594MSS&lid=LSTTSHHZGWTNH594MSSYVZOJ4&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_1_10&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=organic&iid=af9972eb-852a-4fe1-9d01-5b84f1739265.TSHHZGWTNH594MSS.SEARCH&ppt=None&ppn=None&ssid=ndh00f0brk0000001788846633696&qH=04ad3bdbbe706182&ov_redirect=true
"VeBNoR Pack of 4 Men Typography Round Neck Polyester Black, Blue,...more",4.1,398,VeBNoR,https://www.flipkart.com/vebnor-typography-men-round-neck-black-blue-grey-maroon-t-shirt/p/itm75c778289a3d8?pid=TSHGYPRSUZHZ8QGG&lid=LSTTSHGYPRSUZHZ8QGGHKYCOT&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_2_55&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=8da000fb-33ed-4722-af4f-48b51829ab3a.TSHGYPRSUZHZ8QGG.SEARCH&ppt=sp&ppn=sp&ssid=mfoyca52gg0000001788846652005&qH=04ad3bdbbe706182&ov_redirect=true
Louis Philippe Sport Slim Fit Casual Men Solid Polo Neck Pure Cot...more,4.2,824,Louis Philippe Sport,https://www.flipkart.com/louis-philippe-sport-solid-men-polo-neck-brown-t-shirt/p/itm04b03ec9ac65d?pid=TSHGPPBJZRBNQGRX&lid=LSTTSHGPPBJZRBNQGRX33LCNJ&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_1_22&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=organic&iid=en_6osxoQQoZ8klGu3LcJ1cNV27yJQju5zIHf1_2jrrNI8JaJG0jslVwijPp9XpcLUI5iu-Jm2YaWG9uh2VA2hZhTOW85pt-7p5_FL6puUp33_JuB4p5ln1ssNC79I1J3Pm&ppt=None&ppn=None&ssid=ndh00f0brk0000001788846633696&qH=04ad3bdbbe706182&ov_redirect=true
Austivo Men Colorblock Polo Neck Cotton Blend Dark Blue T-Shirt,4.1,472,Austivo,https://www.flipkart.com/austivo-colorblock-men-polo-neck-dark-blue-t-shirt/p/itm88a53666d700b?pid=TSHHHSY6KKQESVQY&lid=LSTTSHHHSY6KKQESVQYJGGRRB&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_2_46&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=8da000fb-33ed-4722-af4f-48b51829ab3a.TSHHHSY6KKQESVQY.SEARCH&ppt=sp&ppn=sp&ssid=mfoyca52gg0000001788846652005&qH=04ad3bdbbe706182&ov_redirect=true
"KAJARU Men Printed Round Neck Polyester Green, Blue T-Shirt",3.9,165,KAJARU,https://www.flipkart.com/kajaru-printed-men-round-neck-green-blue-t-shirt/p/itm68f191baa44db?pid=TSHH8ZFWJXA8SVMJ&lid=LSTTSHH8ZFWJXA8SVMJ0XUOUV&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_1_14&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=af9972eb-852a-4fe1-9d01-5b84f1739265.TSHH8ZFWJXA8SVMJ.SEARCH&ppt=sp&ppn=sp&ssid=ndh00f0brk0000001788846633696&qH=04ad3bdbbe706182&ov_redirect=true
PrintHolic Couple Solid Polo Neck Polyester Brown T-Shirt,3.8,327,PrintHolic,https://www.flipkart.com/printholic-solid-couple-polo-neck-brown-t-shirt/p/itm01985b75c578e?pid=TSHGW3HNHNVGHMSP&lid=LSTTSHGW3HNHNVGHMSPSAW4BJ&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_2_69&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=8da000fb-33ed-4722-af4f-48b51829ab3a.TSHGW3HNHNVGHMSP.SEARCH&ppt=sp&ppn=sp&ssid=mfoyca52gg0000001788846652005&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Polo Neck Polyester Pink T-Shirt,4.4,292,VeBNoR,https://www.flipkart.com/vebnor-solid-men-polo-neck-pink-t-shirt/p/itma5dfc620e35b9?pid=TSHGRS6GVFUQFGVH&lid=LSTTSHGRS6GVFUQFGVHKE4AZV&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_2_54&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=8da000fb-33ed-4722-af4f-48b51829ab3a.TSHGRS6GVFUQFGVH.SEARCH&ppt=sp&ppn=sp&ssid=mfoyca52gg0000001788846652005&qH=04ad3bdbbe706182&ov_redirect=true
Louis Philippe Sport Slim Fit Casual Men Solid Polo Neck Cotton B...more,4.4,879,Louis Philippe Sport,https://www.flipkart.com/louis-philippe-sport-solid-men-polo-neck-yellow-t-shirt/p/itm74c6ea7777336?pid=TSHGWYKTH3QZD5PG&lid=LSTTSHGWYKTH3QZD5PGOQC52S&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_2_72&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=en_Nybui6mzf-3pzsNRl3417K8-o26vG9WfrJQY1g7FcnCOgDYwtVOignQejrUnp6_ZC8QnjFOPqh9ha7gJKrAQ0nv9foW_qj0aqSV5X67wSblm2fOx4jt4ppKIANdp529B&ppt=sp&ppn=sp&ssid=mfoyca52gg0000001788846652005&qH=04ad3bdbbe706182&ov_redirect=true
